parasite_leaf:,host_leaf
P76,H9
P76,H34
P110,H35
P111,H35
P78,H34
P79,H35
P74,H34
P75,H35
P80,H9
P80,H34
P81,H35
P82,H34
P83,H35
P54,H5
P54,H9
P72,H9
P72,H34
P73,H35
P70,H14
P71,H14
P90,H14
P91,H14
P87,H14
P132,H52
P133,H53
P134,H52
P135,H53
P131,H33
P131,H53
P130,H52
P63,H32
P66,H21
P66,H33
P67,H21
P67,H33
P65,H21
P65,H32
P106,H44
P107,H45
P114,H38
P115,H38
P127,H16
P127,H51
P126,H50
P128,H50
P129,H51
P28,H4
P28,H11
P88,H26
P89,H26
P49,H27
P85,H11
P85,H19
P84,H19
P116,H48
P117,H49
P122,H48
P123,H49
P124,H48
P125,H49
P120,H48
P121,H49
P118,H10
P118,H48
P119,H49
P34,H11
P34,H18
P35,H11
P35,H19
P23,H7
P23,H13
P112,H46
P113,H47
P140,H58
P141,H59
P137,H55
P142,H24
P143,H24
P25,H5
P25,H9
P138,H56
P139,H57
P101,H41
P93,H37
P57,H31
P102,H42
P103,H43
P43,H22
