parasite_leaf:,host_leaf
P115,H14
P115,H27
P1098,H15
P1099,H15
P1564,H76
P1565,H76
P1375,H59
P1255,H77
P297,H8
P297,H41
P1550,H82
P1551,H83
P1301,H40
P378,H40
P28,H4
P28,H14
P46,H12
P46,H16
P1224,H9
P1225,H48
P1361,H24
P1361,H31
P1360,H58
P61,H4
P61,H15
P60,H15
P65,H7
P65,H10
P954,H40
P955,H51
P430,H9
P375,H45
P783,H42
P783,H63
P782,H62
P605,H19
P605,H38
P944,H14
P944,H26
P945,H37
P860,H60
P704,H38
P1568,H84
P1569,H85
P829,H64
P1389,H66
P1388,H51
P882,H16
P676,H16
P1339,H77
P1338,H16
P434,H16
P1376,H46
P1377,H52
P879,H38
P805,H32
P805,H46
P1458,H15
P1459,H47
P1436,H58
P1196,H58
P1086,H48
P1463,H64
P1462,H72
P1518,H73
P1519,H73
P401,H12
P401,H16
P874,H16
P875,H16
P759,H16
P192,H16
P472,H6
P472,H9
P473,H50
P37,H6
P37,H8
P315,H28
P315,H43
P763,H42
P763,H63
P762,H62
P1345,H76
P1344,H63
P1095,H63
P869,H41
P764,H62
P830,H43
P830,H65
P831,H64
P344,H29
P344,H44
P345,H45
P780,H62
P781,H63
P1429,H15
P1428,H71
P1221,H71
P1076,H70
P1418,H75
P1419,H34
P1148,H74
P1169,H15
P1168,H66
P1369,H77
P1368,H40
P1180,H63
P1222,H37
P1223,H37
P766,H62
P317,H28
P317,H43
P887,H41
P886,H47
P748,H23
P1506,H80
P1507,H81
P1365,H72
P1297,H40
P1488,H80
P1489,H81
P793,H59
P751,H52
P1155,H69
P1155,H75
P1154,H74
P1037,H50
P1078,H70
P1079,H71
P987,H66
P1402,H29
P1402,H45
P1521,H79
P1520,H61
P1229,H41
P787,H45
P179,H5
P179,H29
P178,H22
P178,H25
P743,H16
P742,H50
P557,H50
P467,H51
P293,H14
P293,H27
P227,H10
P227,H34
P1387,H76
P1386,H63
P1408,H62
P1409,H53
P1438,H46
P1439,H60
P1295,H48
P760,H62
P761,H63
P827,H43
P827,H64
P1566,H84
P1567,H85
P1260,H76
P1261,H77
P1390,H40
P1391,H72
P949,H12
P949,H16
P948,H9
P903,H52
P1288,H45
P1289,H45
P453,H38
P818,H45
P819,H59
P1472,H80
P1473,H81
P1353,H27
P1352,H48
P1510,H80
P1511,H81
P1512,H80
P1513,H81
P1548,H33
P1548,H82
P1549,H83
P1090,H9
P215,H4
P215,H15
P1474,H80
P1475,H81
P356,H15
P195,H15
P772,H62
P773,H63
P1272,H76
P1273,H77
P1045,H38
P1048,H63
P1049,H60
P474,H16
P1188,H15
P1189,H63
P1450,H41
P1451,H52
P776,H62
P777,H63
P1232,H63
P1233,H73
P778,H62
P373,H32
P373,H47
P372,H46
P520,H52
P521,H53
P1540,H82
P1541,H83
P634,H38
P529,H15
P131,H27
P86,H4
P86,H15
P26,H4
P26,H14
P106,H6
P106,H9
P269,H22
P269,H25
P1333,H63
P1332,H79
P1312,H78
P1486,H80
P1487,H81
P1504,H80
P1505,H81
P1350,H71
P1070,H70
P1192,H75
P1193,H75
P1142,H74
P979,H66
P857,H21
P857,H23
P856,H58
P657,H59
P732,H58
P733,H58
P659,H59
P41,H4
P41,H15
P1282,H48
P1283,H48
P1292,H70
P1293,H70
P1075,H71
P1146,H74
P1147,H75
P983,H66
P1310,H78
P1311,H79
P908,H54
P908,H59
P1089,H45
P1088,H59
P652,H58
P494,H9
P451,H6
P451,H9
P429,H9
P1348,H77
P1349,H77
P1393,H70
P1392,H66
P1250,H76
P213,H18
P213,H32
P1524,H62
P1525,H34
P1093,H46
P997,H40
P771,H63
P458,H41
P673,H20
P673,H37
P1210,H40
P1211,H40
P873,H64
P287,H6
P287,H9
P725,H61
P724,H51
P963,H36
P963,H60
P962,H51
P1414,H15
P1415,H78
P490,H18
P490,H33
P339,H18
P339,H33
P1268,H76
P1269,H77
P958,H23
P489,H27
P396,H32
P396,H47
P1434,H41
P1435,H48
P889,H45
P736,H46
P363,H28
P363,H42
P362,H23
P718,H46
P719,H46
P369,H47
