parasite_leaf:,host_leaf
P220,H23
P221,H59
P42,H6
P42,H22
P170,H43
P170,H47
P171,H25
P266,H46
P267,H46
P152,H42
P152,H56
P153,H56
P276,H84
P277,H85
P217,H72
P285,H25
P284,H84
P279,H85
P219,H72
P95,H31
P231,H69
P230,H62
P163,H63
P214,H70
P215,H71
P179,H22
P138,H25
P139,H47
P93,H6
P93,H22
P92,H22
P144,H58
P145,H59
P206,H68
P207,H69
P274,H69
P275,H71
P204,H68
P16,H4
P16,H8
P102,H8
P102,H20
P260,H34
P260,H36
P261,H38
P238,H80
P239,H81
P68,H8
P68,H20
P263,H62
P262,H50
P270,H23
P271,H23
P240,H80
P241,H81
P242,H80
P243,H81
P244,H80
P245,H81
P246,H20
P246,H80
P247,H81
P249,H20
P249,H81
P254,H80
P255,H80
P187,H43
P187,H47
P72,H8
P72,H21
P73,H8
P73,H21
P39,H8
P39,H21
P236,H80
P237,H81
P26,H13
P26,H14
P208,H39
P209,H39
P96,H38
P120,H29
P120,H33
P213,H63
P212,H47
P258,H82
P259,H83
P252,H38
P99,H39
P190,H59
P191,H59
P142,H58
P222,H74
P223,H75
P256,H82
P257,H83
P226,H74
P227,H75
P194,H25
P113,H40
P250,H75
P251,H47
P224,H74
P161,H24
P161,H63
P160,H62
P100,H38
P101,H39
P85,H29
P85,H33
P134,H6
P134,H23
P135,H23
P127,H22
P53,H15
P53,H28
P37,H17
P37,H18
P36,H12
P10,H5
P10,H6
P11,H5
P11,H7
P74,H19
P74,H27
P128,H6
P128,H23
P166,H63
P167,H63
P202,H56
P203,H50
P174,H62
P110,H44
P111,H45
P232,H76
P233,H77
P269,H22
P268,H79
P280,H78
P281,H78
P125,H50
P211,H54
P211,H64
P210,H64
P192,H64
P181,H65
P196,H66
P197,H67
P149,H15
P149,H28
P282,H86
P283,H87
P131,H53
P229,H46
P228,H56
P265,H62
P264,H40
P273,H75
P272,H67
P198,H66
P200,H66
P201,H67
P184,H34
P184,H36
P185,H36
P176,H35
P177,H35
P105,H34
P105,H36
P66,H10
P66,H31
P67,H31
P58,H10
P58,H30
