parasite_leaf:,host_leaf
P9,H2
P9,H5
P1256,H38
P1256,H44
P2306,H30
P2307,H30
P1990,H70
P1991,H71
P807,H44
P2242,H55
P2243,H55
P1557,H47
P1250,H54
P1199,H43
P1526,H60
P1527,H61
P1588,H62
P1589,H63
P1402,H58
P1403,H59
P1339,H19
P1339,H56
P1788,H33
P1788,H66
P1789,H67
P165,H3
P165,H7
P2072,H36
P2073,H36
P840,H36
P1375,H57
P1375,H59
P1374,H58
P1311,H56
P1916,H21
P1917,H65
P1497,H40
P866,H18
P866,H39
P867,H47
P2449,H67
P2448,H40
P1372,H57
P1372,H58
P1373,H59
P2016,H70
P2017,H71
P2210,H56
P2211,H22
P326,H29
P326,H31
P2328,H31
P2329,H65
P228,H29
P228,H30
P216,H16
P216,H25
P2038,H48
P2039,H30
P1604,H63
P1626,H62
P1627,H52
P1418,H48
P2212,H49
P2213,H49
P2486,H78
P2487,H79
P2113,H72
P1833,H69
P1892,H27
P1893,H27
P1004,H48
P1005,H48
P1494,H49
P1495,H41
P283,H35
P283,H36
P1682,H59
P1683,H31
P1380,H58
P1317,H56
P1453,H23
P1453,H40
P2539,H60
P2538,H78
P2529,H79
P2397,H72
P2123,H68
P2123,H72
P1843,H69
P922,H44
P923,H40
P2471,H77
P2470,H71
P1998,H70
P67,H14
P67,H19
P978,H48
P979,H49
P876,H46
P713,H47
P778,H29
P778,H31
P779,H46
P1562,H12
P1562,H62
P1563,H63
P272,H14
P272,H18
P1684,H27
P1685,H27
P1354,H56
P2046,H58
P2047,H58
P1379,H59
P2160,H25
P2161,H25
P2221,H55
P2220,H27
P549,H31
P698,H26
P698,H46
P2020,H70
P2021,H71
P2402,H43
P2403,H43
P802,H47
P920,H18
P920,H39
P921,H21
P2295,H67
P2294,H27
P1726,H45
P821,H27
P1053,H36
P1052,H44
P2166,H48
P2167,H48
P1007,H48
P1955,H44
P1954,H65
P1672,H64
P1639,H54
P2459,H77
P2458,H52
P1908,H49
P1909,H43
P1259,H55
P1986,H70
P1987,H71
P811,H46
P775,H46
P2548,H71
P2549,H56
P1984,H70
P1230,H54
P1231,H55
P1532,H60
P1533,H61
P1421,H43
P1392,H58
P1393,H59
P1329,H56
P796,H16
P796,H25
P2192,H36
P2193,H71
P684,H38
P684,H44
P685,H45
P608,H17
P608,H34
P1029,H6
P1029,H21
P1028,H21
P1357,H32
P1357,H51
P2552,H46
P2553,H52
P717,H47
P1191,H7
P1191,H53
P1190,H22
P2081,H7
P2081,H52
P2428,H36
P2429,H36
P1002,H28
P1938,H27
P1939,H27
P903,H46
P883,H40
P801,H27
P49,H8
P49,H12
P71,H14
P71,H19
P357,H18
P357,H39
P812,H38
P812,H44
P813,H10
P813,H27
P661,H38
P661,H45
P761,H38
P761,H44
P760,H41
P541,H39
P910,H23
P910,H40
P911,H40
P1550,H45
P1551,H45
P997,H45
P682,H44
P2313,H36
P2312,H40
P1180,H40
P1361,H7
P1361,H52
P1360,H40
P964,H37
P964,H48
P965,H49
P828,H16
P828,H25
P771,H46
P1582,H62
P1583,H63
P994,H30
P2018,H70
P2019,H71
P1699,H27
P1288,H47
P2190,H46
P2191,H43
P488,H29
P488,H31
P489,H29
P489,H31
P1614,H52
P1615,H52
P1650,H64
P1651,H65
P2164,H36
P2165,H36
P1460,H52
P2372,H76
P2373,H77
P2277,H75
P1805,H67
P1754,H65
P1719,H52
P1660,H64
P2022,H34
P2022,H70
P2023,H71
P1762,H31
P1482,H31
P2065,H39
P2064,H31
P220,H30
P209,H13
P209,H28
P1396,H58
P1397,H59
P1333,H56
P2299,H70
P2298,H72
P2504,H78
P2505,H79
P1855,H69
P1711,H63
P913,H41
P645,H43
P838,H41
P839,H41
P2339,H48
P2338,H62
P1612,H55
P1240,H54
P2441,H76
P2440,H46
P1622,H60
P2510,H78
P2511,H79
P2143,H72
P1863,H69
P1760,H61
P1242,H54
P1243,H55
P1530,H60
P1531,H61
P1359,H22
P1298,H21
P1299,H21
P1487,H58
P1486,H59
P2426,H58
P2427,H41
P2057,H60
P2056,H56
P1963,H54
P1962,H58
P1958,H40
P1015,H44
P1446,H23
P1446,H40
P1447,H40
P2070,H49
P2071,H46
P1967,H30
P1155,H44
P1408,H58
P1409,H59
P1554,H56
P1555,H56
P944,H48
P2386,H76
P2387,H77
P2291,H75
P2236,H30
P1688,H30
P1438,H36
P2414,H36
P2415,H58
P1427,H36
P2086,H46
P2087,H41
P309,H16
P309,H25
P1412,H57
P1412,H58
P2055,H49
P2054,H59
P1957,H28
P1349,H56
P1149,H36
P1610,H58
P1611,H46
P1385,H59
P1321,H19
P1321,H56
P2074,H71
P2075,H71
P1978,H70
P346,H8
P346,H12
P1566,H62
P1567,H63
P1568,H62
P1569,H63
P248,H20
P248,H22
P1690,H54
P1691,H54
P1221,H55
P1510,H60
P1511,H61
P446,H30
P1636,H27
P1637,H27
P1952,H31
P1953,H31
P1819,H42
P1819,H69
P2514,H78
P2515,H79
P2147,H72
P2059,H28
P649,H43
P1702,H25
P1703,H25
P1196,H30
P2084,H31
P2085,H31
P745,H31
P1541,H27
P1540,H28
P1492,H52
P1648,H64
P1649,H65
P2336,H46
P2337,H27
P938,H46
P2002,H70
P2003,H71
P2062,H27
P2063,H41
P798,H26
P798,H47
P799,H30
P2302,H41
P2303,H64
P1933,H30
P1680,H39
P120,H16
P120,H24
P359,H18
P359,H39
P1068,H44
P1069,H40
P1031,H44
P663,H45
P618,H6
P618,H21
P1874,H39
P1875,H27
P1884,H48
P1885,H28
P1429,H27
P947,H49
P949,H37
P949,H49
P948,H48
P830,H35
P830,H36
P831,H36
P2005,H34
P2005,H71
P2004,H70
P1092,H21
P850,H17
P850,H34
P2355,H48
P2354,H72
P2502,H78
P2503,H79
P1853,H69
P1618,H48
P971,H49
P2030,H70
P2031,H71
P1951,H43
P2542,H70
P2543,H79
P2007,H71
P2536,H78
P2537,H79
P2462,H52
P1879,H52
P1478,H43
P1284,H16
P1284,H25
P2090,H16
P2090,H25
P2091,H54
P2218,H20
P2218,H22
P2219,H22
P563,H22
P2175,H54
P2174,H31
P1078,H31
P1960,H20
P1960,H22
P1976,H22
P1977,H64
P1293,H39
P1292,H27
P1607,H60
P1606,H45
P1261,H25
P1260,H44
P897,H47
P896,H28
P274,H8
P274,H12
P1913,H51
P1913,H60
P2203,H40
P2202,H64
P2060,H67
P2260,H66
P2260,H74
P2261,H75
P510,H31
P279,H31
P940,H29
P940,H30
P2384,H76
P2385,H77
P2289,H75
P1975,H39
P1785,H67
P213,H13
P213,H28
P2215,H63
P2214,H21
P2088,H21
P732,H39
P2036,H41
P2037,H41
P1141,H43
P543,H23
P543,H40
P846,H23
P846,H40
P1668,H64
P1669,H65
P1670,H64
P1671,H65
P1504,H44
P1094,H49
P966,H48
P1980,H70
P1981,H71
P2347,H39
P2346,H65
P1666,H64
P1441,H55
P1163,H7
P1163,H52
P2188,H55
P2189,H30
P2399,H45
P2398,H62
P2235,H58
P2234,H63
P906,H28
P907,H28
P1442,H52
P1443,H52
P2508,H78
P2509,H79
P2141,H72
P1861,H69
P2311,H55
P2310,H64
P1655,H65
P134,H20
P134,H22
P1269,H48
P1268,H31
P1436,H49
P1437,H49
P1276,H37
P1276,H49
P968,H48
P849,H16
P849,H25
P961,H37
P961,H49
P960,H48
P2356,H61
P2357,H40
P1888,H36
