parasite_leaf:,host_leaf
P30,H6
P30,H8
P506,H32
P507,H34
P237,H33
P494,H28
P495,H33
P269,H27
P354,H37
P354,H38
P355,H39
P321,H36
P218,H29
P135,H18
P135,H23
P78,H9
P464,H44
P465,H45
P528,H46
P529,H47
P177,H31
P334,H10
P335,H9
P154,H15
P155,H15
P450,H5
P450,H15
P451,H31
P553,H28
P552,H35
P300,H34
P97,H21
P466,H44
P467,H45
P536,H46
P537,H47
P538,H46
P539,H47
P183,H26
P337,H27
P336,H21
P412,H21
P413,H21
P527,H41
P526,H31
P180,H25
P180,H27
P181,H19
P181,H24
P142,H26
P127,H19
P127,H24
P110,H10
P520,H36
P521,H44
P370,H10
P295,H23
P44,H4
P44,H11
P13,H3
P13,H4
P113,H4
P113,H10
P331,H23
P330,H9
P36,H6
P36,H9
P26,H6
P26,H8
P470,H44
P471,H45
P532,H46
P533,H47
P290,H31
P249,H23
P332,H7
P332,H30
P472,H44
P473,H45
P534,H46
P535,H47
P376,H40
P377,H41
P205,H7
P205,H31
P348,H23
P349,H23
P212,H27
P213,H27
P554,H33
P555,H44
P390,H9
P261,H33
P448,H29
P449,H36
P281,H21
P502,H35
P503,H35
P418,H26
P479,H28
P478,H24
P475,H15
P429,H32
P484,H7
P484,H31
P485,H39
P367,H33
P544,H24
P545,H44
P408,H24
P556,H23
P557,H23
P426,H40
P402,H41
P380,H40
P438,H5
P438,H15
P439,H34
P329,H36
P328,H15
P146,H5
P146,H15
P226,H32
P227,H33
P109,H5
P109,H14
P352,H37
P352,H38
P514,H39
P515,H40
P319,H36
P211,H24
P233,H17
P233,H33
P232,H32
P442,H34
P443,H34
P364,H35
P304,H34
P257,H28
P482,H24
P483,H31
P199,H10
P272,H21
P273,H31
P302,H20
P302,H34
P303,H20
P303,H35
P130,H10
P62,H6
P62,H9
P77,H13
P77,H17
P309,H20
P309,H35
P308,H34
P401,H28
P400,H34
P311,H35
P504,H40
P505,H21
P383,H41
P510,H40
P511,H44
P518,H28
P519,H45
P379,H41
P107,H23
P286,H26
P287,H9
P441,H36
P440,H27
P540,H15
P541,H24
P431,H39
P276,H24
P491,H29
P490,H24
P252,H29
P543,H10
P542,H32
P415,H23
P255,H10
P229,H33
P445,H38
P444,H34
P307,H35
P476,H40
P477,H40
P387,H41
P340,H21
P298,H20
P298,H34
P299,H35
P72,H6
P72,H9
P246,H15
P247,H15
P203,H9
P406,H15
P407,H15
P187,H10
P395,H14
P395,H36
P394,H28
P168,H28
P184,H29
P185,H29
P468,H44
P469,H45
P530,H46
P531,H47
P209,H31
P175,H31
P238,H32
P239,H33
P522,H32
P523,H32
P241,H33
P350,H38
P351,H39
P548,H36
P549,H9
P59,H15
P41,H9
P384,H22
P384,H40
P385,H41
P524,H26
P525,H21
P293,H6
P293,H9
P292,H23
P289,H33
P496,H28
P497,H32
P493,H28
P404,H35
P546,H27
P547,H44
P138,H26
P368,H37
P368,H38
P369,H38
P436,H36
P437,H36
P396,H39
P398,H36
P399,H23
P220,H24
P234,H32
P235,H33
P153,H24
P498,H17
P498,H32
P499,H32
P517,H23
P516,H27
P372,H17
P372,H32
P264,H28
P486,H29
P487,H34
P392,H29
P393,H29
P422,H28
P423,H29
P424,H10
P425,H40
P346,H10
P21,H2
P21,H7
P488,H29
P489,H21
P158,H28
P453,H17
P453,H32
P452,H24
P410,H33
P481,H26
P480,H33
P230,H32
P195,H29
P194,H23
P188,H18
P188,H22
P374,H40
P375,H41
P136,H25
P136,H26
P420,H38
P421,H36
P359,H39
P325,H36
P361,H37
P361,H39
P360,H38
P550,H38
P551,H38
P435,H35
P363,H39
P327,H36
P500,H28
P501,H32
P262,H27
P121,H24
P339,H15
P338,H33
P509,H27
P508,H32
P344,H32
P296,H34
P297,H35
P91,H21
P433,H23
P432,H9
