parasite_leaf:,host_leaf
P64,H39
P64,H44
P65,H45
P51,H38
P41,H32
P60,H42
P61,H43
P86,H51
P87,H51
P98,H50
P99,H50
P102,H57
P103,H57
P100,H56
P73,H49
P67,H45
P53,H38
P43,H21
P43,H32
P96,H50
P97,H50
P83,H51
P84,H50
P85,H51
P63,H37
P63,H43
P62,H42
P36,H28
P37,H29
P13,H11
P92,H54
P93,H55
P89,H53
P94,H54
P95,H55
P91,H53
P29,H2
P29,H4
P74,H24
P74,H27
P75,H27
P34,H26
P76,H41
P77,H41
P56,H40
P9,H3
P9,H7
P30,H22
P31,H23
P70,H35
P71,H35
P58,H35
P104,H58
P105,H59
P23,H18
P21,H16
P68,H46
P69,H47
P39,H30
