parasite_leaf:,host_leaf
P240,H68
P241,H69
P221,H65
P324,H68
P325,H68
P277,H68
P243,H69
P223,H25
P223,H65
P382,H24
P383,H24
P327,H69
P326,H85
P312,H85
P292,H84
P9,H3
P9,H5
P370,H71
P371,H71
P250,H70
P195,H55
P302,H71
P303,H71
P252,H70
P197,H55
P376,H52
P377,H52
P378,H94
P379,H95
P307,H69
P306,H49
P231,H61
P231,H62
P230,H62
P215,H63
P224,H50
P224,H60
P308,H60
P309,H60
P304,H51
P305,H79
P269,H45
P269,H77
P268,H76
P348,H90
P349,H91
P147,H42
P319,H19
P319,H33
P318,H33
P37,H14
P69,H17
P69,H21
P126,H27
P127,H27
P239,H26
P239,H67
P346,H88
P347,H89
P70,H17
P70,H20
P172,H46
P173,H47
P105,H12
P105,H16
P104,H16
P344,H88
P345,H89
P388,H96
P389,H97
P93,H27
P171,H21
P171,H47
P170,H21
P170,H46
P53,H12
P53,H16
P79,H17
P79,H21
P78,H6
P78,H11
P15,H2
P15,H7
P83,H8
P83,H24
P245,H64
P245,H69
P244,H68
P246,H68
P247,H69
P219,H65
P294,H84
P295,H85
P296,H84
P297,H85
P206,H58
P207,H59
P203,H56
P262,H57
P262,H59
P263,H59
P208,H57
P208,H58
P205,H56
P74,H18
P74,H22
P255,H54
P255,H71
P254,H54
P254,H70
P380,H55
P381,H55
P256,H70
P257,H71
P201,H55
P270,H76
P271,H77
P358,H90
P359,H91
P360,H90
P361,H91
P356,H90
P357,H91
P149,H42
P301,H19
P301,H33
P300,H33
P190,H14
P191,H14
P178,H13
P178,H14
P89,H20
P89,H27
P233,H26
P233,H67
P340,H88
P341,H89
P63,H17
P63,H21
P167,H14
P166,H16
P139,H11
P139,H34
P138,H34
P322,H80
P323,H80
P372,H81
P373,H81
P120,H11
P120,H35
P121,H34
P99,H7
P99,H29
P362,H92
P363,H93
P331,H86
P265,H75
P259,H72
P310,H82
P311,H82
P289,H41
P289,H83
P131,H36
P279,H31
P279,H79
P278,H78
P176,H39
P176,H48
P177,H49
P369,H61
P369,H62
P368,H62
P228,H62
P217,H63
P213,H60
P185,H51
P338,H71
P339,H71
P336,H71
P248,H70
P328,H55
P329,H55
P273,H45
P273,H77
P272,H76
P350,H90
P351,H91
P151,H42
P115,H33
P352,H90
P353,H91
P354,H44
P354,H90
P355,H91
P374,H76
P375,H76
P275,H77
P153,H42
P117,H33
P86,H13
P86,H14
P87,H14
P342,H88
P343,H89
P386,H96
P387,H97
P91,H20
P91,H27
P169,H21
P169,H47
P168,H46
P155,H12
P155,H16
P154,H16
P384,H81
P385,H81
P284,H80
P123,H34
P286,H80
P287,H81
P125,H34
P364,H92
P365,H93
P333,H86
P366,H92
P367,H93
P335,H86
P267,H75
P261,H72
P290,H82
P291,H83
P133,H30
P133,H36
P280,H78
P281,H79
P314,H29
P315,H29
