parasite_leaf:,host_leaf
P212,H36
P213,H63
P102,H36
P95,H25
P95,H36
P89,H25
P89,H37
P90,H36
P91,H37
P46,H6
P128,H15
P129,H15
P125,H35
P108,H15
P44,H4
P44,H6
P119,H12
P119,H15
P118,H35
P80,H34
P24,H12
P24,H14
P25,H12
P25,H15
P23,H10
P23,H13
P59,H7
P59,H11
P58,H11
P19,H4
P19,H7
P204,H36
P205,H44
P200,H36
P85,H37
P100,H25
P100,H36
P101,H27
P87,H25
P87,H37
P160,H58
P161,H59
P114,H44
P115,H45
P198,H31
P199,H31
P157,H32
P107,H17
P107,H41
P174,H17
P174,H40
P215,H66
P214,H16
P202,H59
P203,H42
P167,H15
P162,H58
P78,H27
P206,H64
P207,H65
P151,H55
P93,H39
P70,H18
P70,H21
P71,H21
P144,H52
P145,H53
P120,H34
P83,H35
P194,H62
P195,H63
P187,H61
P189,H21
P188,H32
P123,H21
P62,H32
P208,H64
P209,H65
P177,H53
P153,H55
P138,H50
P192,H62
P193,H63
P185,H61
P133,H6
P113,H42
P97,H34
P28,H8
P28,H17
P147,H34
P146,H16
P13,H3
P13,H9
P155,H18
P155,H21
P154,H16
P130,H48
P180,H56
P181,H56
P210,H66
P211,H67
P117,H47
P69,H11
P49,H27
P148,H50
P149,H50
P196,H62
P197,H62
P191,H63
P183,H61
P169,H47
P168,H42
P140,H52
P141,H53
P77,H28
P77,H30
P173,H35
P172,H53
P165,H53
P142,H52
P27,H11
P31,H8
P31,H16
P178,H41
P179,H41
P104,H40
P9,H4
P9,H7
