parasite_leaf:,host_leaf
P38,H26
P39,H27
P416,H22
P417,H22
P412,H58
P233,H59
P293,H65
P292,H59
P234,H18
P234,H58
P274,H66
P275,H67
P183,H48
P202,H37
P203,H37
P370,H40
P371,H40
P335,H56
P195,H33
P195,H40
P157,H40
P240,H58
P241,H59
P141,H41
P81,H30
P81,H35
P80,H11
P80,H18
P215,H12
P215,H14
P214,H48
P408,H66
P409,H46
P273,H67
P346,H66
P347,H75
P398,H82
P399,H83
P376,H37
P262,H37
P320,H72
P321,H73
P309,H29
P309,H44
P418,H73
P419,H68
P341,H14
P318,H72
P223,H56
P280,H68
P281,H69
P268,H64
P269,H65
P332,H61
P333,H37
P356,H78
P357,H79
P358,H78
P359,H79
P35,H17
P35,H22
P25,H8
P25,H16
P245,H18
P245,H59
P244,H58
P201,H42
P348,H58
P349,H58
P247,H59
P400,H82
P401,H83
P381,H67
P144,H38
P163,H39
P163,H42
P382,H80
P383,H81
P253,H62
P20,H12
P20,H15
P21,H12
P21,H14
P209,H33
P209,H40
P208,H40
P143,H28
P137,H41
P138,H33
P138,H40
P139,H33
P139,H41
P170,H38
P171,H38
P337,H58
P336,H59
P242,H58
P147,H38
P350,H78
P351,H79
P284,H68
P285,H69
P286,H68
P287,H69
P406,H58
P407,H58
P237,H59
P94,H8
P94,H16
P122,H25
P122,H27
P310,H58
P311,H28
P239,H59
P338,H76
P339,H77
P393,H78
P392,H55
P396,H82
P397,H83
P328,H74
P327,H75
P228,H58
P229,H59
P42,H12
P42,H14
P394,H71
P395,H71
P304,H70
P207,H52
P368,H72
P369,H72
P315,H73
P225,H56
P390,H56
P391,H56
P323,H58
P259,H56
P317,H57
P317,H73
P316,H72
P404,H79
P405,H74
P352,H78
P374,H22
P375,H74
P172,H45
P173,H45
P411,H80
P410,H44
P45,H10
P45,H28
P74,H10
P74,H28
P386,H80
P387,H81
P257,H62
P167,H42
P218,H27
P219,H27
P158,H38
P159,H40
P174,H7
P174,H46
P175,H47
P65,H2
P65,H7
P230,H58
P231,H59
P312,H53
P312,H71
P313,H71
P302,H70
P205,H52
P153,H27
P261,H62
P260,H14
P150,H31
P150,H36
P403,H26
P402,H27
P378,H40
P184,H40
P103,H31
P103,H37
P367,H65
P366,H79
P362,H78
P364,H78
P365,H79
P69,H21
P69,H32
P354,H78
P355,H79
P217,H22
P360,H78
P361,H79
P295,H56
P54,H21
P54,H33
P344,H38
P345,H55
P155,H9
P155,H38
P255,H43
P255,H62
P384,H80
P385,H81
P388,H80
P389,H81
P296,H42
P330,H68
P331,H44
P279,H69
P115,H21
P115,H33
P414,H58
P415,H58
P300,H68
P283,H20
P283,H69
P372,H60
P372,H65
P373,H65
P270,H64
P251,H61
P276,H26
P277,H55
P196,H21
P196,H32
P299,H14
P298,H46
P343,H67
P342,H14
P192,H41
P193,H41
P132,H40
P134,H40
P135,H41
P288,H68
P289,H69
P290,H68
P291,H69
P14,H2
P14,H7
