"symbiont","host"
"S41","H30"
"S43","H277"
"S49","H38"
"S59","H38"
"S92","H65"
"S94","H177"
"S102","H238"
"S102","H239"
"S115","H30"
"S123","H104"
"S125","H112"
"S126","H116"
"S129","H238"
"S129","H239"
"S132","H117"
"S135","H154"
"S138","H123"
"S145","H128"
"S147","H303"
"S147","H304"
"S150","H143"
"S158","H236"
"S169","H148"
"S171","H149"
"S173","H121"
"S173","H150"
"S174","H151"
"S175","H205"
"S177","H202"
"S179","H152"
"S182","H223"
"S183","H157"
"S189","H166"
"S191","H109"
"S194","H253"
"S197","H172"
"S201","H91"
"S201","H179"
"S206","H202"
"S207","H218"
"S209","H186"
"S212","H159"
"S214","H190"
"S215","H191"
"S217","H288"
"S218","H199"
"S219","H230"
"S221","H205"
"S223","H207"
"S224","H208"
"S225","H217"
"S226","H209"
"S227","H210"
"S228","H212"
"S229","H217"
"S231","H115"
"S232","H222"
"S233","H223"
"S234","H224"
"S240","H231"
"S241","H232"
"S242","H233"
"S243","H174"
"S243","H268"
"S244","H234"
"S245","H235"
"S246","H236"
"S247","H237"
"S248","H226"
"S249","H226"
"S250","H211"
"S251","H22"
"S251","H211"
"S252","H102"
"S254","H192"
"S256","H242"
"S258","H161"
"S259","H161"
"S260","H192"
"S261","H192"
"S262","H247"
"S264","H272"
"S265","H249"
"S266","H198"
"S266","H214"
"S266","H250"
"S267","H22"
"S267","H195"
"S269","H202"
"S269","H255"
"S270","H200"
"S270","H256"
"S271","H22"
"S271","H252"
"S271","H278"
"S273","H181"
"S274","H269"
"S275","H257"
"S276","H258"
"S278","H138"
"S279","H154"
"S279","H260"
"S282","H202"
"S285","H303"
"S285","H304"
"S286","H284"
"S288","H261"
"S289","H265"
"S290","H184"
"S291","H184"
"S293","H266"
"S295","H270"
"S296","H195"
"S297","H195"
"S299","H266"
"S300","H22"
"S300","H266"
"S301","H275"
"S302","H92"
"S302","H193"
"S302","H276"
"S303","H277"
"S304","H252"
"S304","H278"
"S305","H279"
"S306","H299"
"S306","H300"
"S307","H277"
"S308","H22"
"S308","H277"
"S309","H282"
"S310","H283"
"S312","H289"
"S314","H291"
"S315","H22"
"S317","H292"
"S318","H293"
"S319","H241"
"S320","H241"
"S321","H295"
"S322","H296"
"S323","H167"
"S324","H167"
"S325","H202"
"S326","H202"
"S327","H297"
"S329","H115"
"S330","H115"
"S331","H219"
"S331","H220"
"S332","H219"
"S332","H220"
"S333","H264"
"S334","H264"
"S336","H302"
"S337","H305"
"S338","H306"
