"symbiont","host"
"S13","H10"
"S14","H11"
"S19","H20"
"S20","H21"
"S26","H28"
"S28","H33"
"S33","H21"
"S34","H21"
"S36","H18"
"S38","H63"
"S39","H64"
"S43","H36"
"S43","H41"
"S44","H30"
"S44","H53"
"S45","H79"
"S46","H79"
"S46","H80"
"S48","H57"
"S49","H21"
"S50","H21"
"S51","H33"
"S52","H33"
"S53","H29"
"S53","H60"
"S54","H61"
"S55","H62"
"S56","H65"
"S57","H22"
"S58","H70"
"S60","H68"
"S61","H69"
"S62","H70"
"S63","H71"
"S64","H72"
"S65","H40"
"S66","H40"
"S67","H73"
"S69","H75"
"S70","H76"
"S71","H77"
"S72","H78"
"S73","H81"
"S74","H82"
"S75","H36"
"S75","H41"
"S76","H36"
"S76","H41"
"S77","H83"
"S78","H84"
