"symbiont","host"
"S33","H73"
"S35","H24"
"S44","H37"
"S52","H48"
"S57","H75"
"S60","H56"
"S64","H26"
"S65","H26"
"S66","H60"
"S67","H61"
"S68","H62"
"S69","H102"
"S70","H66"
"S71","H134"
"S75","H141"
"S75","H142"
"S76","H34"
"S77","H71"
"S79","H73"
"S81","H77"
"S82","H79"
"S83","H84"
"S84","H85"
"S87","H57"
"S87","H89"
"S89","H92"
"S91","H95"
"S92","H91"
"S92","H116"
"S94","H88"
"S95","H88"
"S96","H122"
"S97","H96"
"S98","H97"
"S100","H91"
"S100","H116"
"S101","H91"
"S101","H115"
"S103","H93"
"S104","H93"
"S105","H102"
"S106","H103"
"S107","H34"
"S108","H34"
"S109","H104"
"S110","H105"
"S112","H78"
"S113","H63"
"S114","H63"
"S115","H87"
"S116","H87"
"S117","H24"
"S118","H24"
"S119","H109"
"S120","H106"
"S120","H110"
"S121","H111"
"S122","H112"
"S123","H113"
"S124","H114"
"S125","H91"
"S125","H116"
"S126","H117"
"S126","H118"
"S127","H119"
"S128","H120"
"S129","H123"
"S130","H124"
"S131","H125"
"S132","H53"
"S133","H53"
"S134","H126"
"S135","H127"
"S136","H115"
"S137","H115"
"S138","H130"
"S139","H132"
"S140","H133"
"S141","H134"
"S142","H98"
"S142","H100"
"S143","H98"
"S143","H100"
"S144","H137"
"S145","H138"
"S146","H139"
"S147","H140"
