"symbiont","host"
"S9","H20"
"S14","H23"
"S25","H17"
"S26","H18"
"S27","H64"
"S27","H65"
"S30","H21"
"S34","H25"
"S36","H16"
"S38","H27"
"S39","H28"
"S41","H30"
"S42","H31"
"S43","H32"
"S44","H33"
"S45","H34"
"S46","H13"
"S47","H13"
"S49","H46"
"S49","H52"
"S52","H43"
"S53","H44"
"S54","H35"
"S55","H35"
"S56","H33"
"S57","H60"
"S57","H61"
"S58","H61"
"S60","H5"
"S61","H26"
"S62","H50"
"S63","H56"
"S63","H57"
"S64","H5"
"S65","H5"
"S66","H53"
"S67","H54"
"S68","H55"
"S69","H47"
"S70","H47"
"S71","H62"
"S73","H66"
"S74","H67"
"S75","H70"
"S76","H71"
