"symbiont","host"
"S5","H2"
"S5","H5"
"S5","H6"
"S6","H1"
"S6","H2"
"S6","H5"
"S7","H1"
"S7","H2"
"S7","H5"
"S7","H7"
"S8","H2"
"S9","H2"
"S10","H2"
"S10","H5"
"S10","H6"
"S10","H7"
"S11","H1"
"S11","H2"
"S11","H5"
"S11","H7"
"S12","H2"
"S13","H1"
"S14","H1"
"S14","H2"
"S14","H7"
"S15","H1"
"S16","H1"
"S16","H2"
"S16","H5"
"S16","H6"
"S16","H7"
"S19","H1"
"S19","H2"
"S19","H5"
"S19","H6"
"S19","H7"
"S20","H1"
"S20","H2"
"S20","H5"
"S20","H6"
"S20","H7"
"S21","H2"
"S21","H5"
"S21","H6"
"S21","H7"
"S22","H2"
"S22","H5"
"S22","H6"
"S22","H7"
