"symbiont","host"
"S18","H19"
"S18","H22"
"S18","H23"
"S18","H24"
"S18","H25"
"S18","H39"
"S30","H28"
"S30","H37"
"S30","H38"
"S35","H11"
"S37","H11"
"S42","H28"
"S42","H37"
"S47","H29"
"S47","H37"
"S49","H37"
"S51","H11"
"S51","H19"
"S51","H23"
"S53","H28"
"S53","H29"
"S53","H37"
"S53","H38"
"S60","H28"
"S60","H29"
"S60","H35"
"S60","H38"
"S60","H39"
"S60","H40"
"S61","H11"
"S61","H19"
"S61","H23"
"S62","H11"
"S62","H19"
"S62","H23"
"S63","H11"
"S67","H39"
"S67","H40"
"S68","H28"
"S68","H29"
"S68","H37"
"S68","H38"
"S72","H11"
"S73","H11"
"S74","H19"
"S78","H11"
"S78","H19"
"S78","H23"
"S80","H35"
"S81","H36"
"S81","H39"
"S81","H40"
"S82","H11"
"S83","H11"
"S84","H29"
"S84","H39"
"S84","H40"
"S86","H11"
"S87","H19"
"S88","H29"
"S88","H37"
"S88","H38"
"S89","H19"
"S90","H37"
"S90","H38"
"S91","H11"
"S94","H11"
"S94","H37"
"S95","H28"
"S95","H29"
"S95","H37"
"S95","H38"
"S95","H39"
"S96","H19"
"S97","H19"
"S97","H22"
"S97","H23"
"S97","H24"
"S97","H39"
"S98","H19"
"S98","H22"
"S98","H23"
"S98","H24"
"S98","H39"
"S99","H11"
"S100","H19"
