"symbiont","host"
"S2","H5"
"S2","H6"
"S2","H9"
"S2","H10"
"S2","H11"
"S2","H13"
"S3","H3"
"S3","H4"
"S3","H5"
"S3","H6"
"S3","H10"
"S3","H11"
"S4","H4"
"S4","H8"
"S4","H9"
"S11","H12"
"S12","H3"
"S12","H5"
"S12","H8"
"S12","H9"
"S12","H12"
"S12","H14"
"S12","H15"
"S15","H9"
"S15","H11"
"S16","H8"
"S16","H9"
"S16","H10"
"S16","H11"
"S17","H3"
"S17","H4"
"S17","H5"
"S17","H8"
"S17","H9"
"S17","H10"
"S17","H12"
"S17","H14"
"S17","H15"
"S18","H3"
"S18","H4"
"S18","H5"
"S18","H9"
"S18","H10"
"S18","H13"
"S18","H14"
"S18","H15"
"S19","H3"
"S19","H4"
"S19","H5"
"S19","H11"
"S19","H12"
"S19","H13"
"S19","H14"
"S19","H15"
"S20","H3"
"S20","H4"
"S20","H5"
"S20","H11"
"S20","H12"
"S20","H13"
"S20","H14"
"S21","H3"
"S21","H8"
"S21","H9"
"S22","H3"
"S23","H5"
"S23","H6"
"S23","H9"
"S23","H11"
"S24","H3"
"S25","H4"
"S26","H5"
"S26","H7"
"S27","H4"
"S27","H5"
"S27","H7"
"S28","H9"
"S29","H4"
"S30","H4"
"S31","H4"
"S32","H8"
"S32","H9"
"S33","H4"
"S33","H8"
"S33","H9"
