"symbiont","host"
"S10","H7"
"S17","H68"
"S23","H6"
"S23","H74"
"S28","H23"
"S29","H20"
"S30","H30"
"S31","H58"
"S32","H26"
"S32","H36"
"S33","H26"
"S33","H36"
"S34","H15"
"S34","H30"
"S35","H41"
"S36","H42"
"S36","H43"
"S38","H45"
"S39","H46"
"S41","H26"
"S41","H35"
"S41","H36"
"S41","H58"
"S41","H59"
"S42","H15"
"S42","H30"
"S43","H20"
"S44","H20"
"S45","H69"
"S46","H77"
"S47","H76"
"S47","H77"
"S48","H55"
"S49","H26"
"S49","H35"
"S49","H36"
"S50","H26"
"S50","H35"
"S50","H36"
"S52","H69"
"S53","H56"
"S54","H57"
"S55","H75"
"S58","H73"
"S60","H64"
"S60","H71"
"S61","H60"
"S62","H62"
"S63","H6"
"S63","H63"
"S64","H15"
"S64","H30"
"S65","H23"
"S66","H66"
"S67","H67"
"S68","H72"
"S69","H73"
"S70","H37"
"S70","H74"
"S71","H75"
"S72","H69"
"S73","H69"
"S74","H4"
"S75","H4"
"S76","H69"
"S77","H69"
"S78","H68"
"S79","H4"
"S79","H15"
"S79","H30"
"S80","H4"
"S80","H6"
"S80","H15"
"S80","H30"
"S81","H72"
"S82","H6"
"S84","H29"
"S85","H23"
"S86","H23"
"S87","H84"
"S88","H85"
"S89","H49"
"S90","H49"
"S91","H65"
"S92","H6"
"S93","H55"
"S94","H55"
"S95","H40"
"S95","H86"
"S96","H87"
"S97","H88"
"S98","H68"
"S99","H68"
"S100","H68"
"S101","H6"
"S101","H68"
