"symbiont","host"
"S4","H23"
"S4","H30"
"S5","H5"
"S5","H13"
"S5","H23"
"S5","H25"
"S5","H31"
"S5","H36"
"S5","H37"
"S11","H5"
"S11","H22"
"S17","H35"
"S18","H5"
"S18","H13"
"S18","H14"
"S18","H23"
"S18","H26"
"S18","H30"
"S19","H5"
"S19","H14"
"S19","H23"
"S19","H26"
"S19","H31"
"S19","H36"
"S19","H37"
"S20","H26"
"S21","H12"
"S21","H24"
"S22","H17"
"S22","H18"
"S24","H26"
"S25","H5"
"S25","H13"
"S25","H29"
"S25","H33"
"S26","H20"
"S26","H24"
"S26","H27"
"S26","H28"
"S27","H5"
"S27","H13"
"S27","H14"
"S27","H26"
"S27","H37"
"S28","H25"
"S29","H5"
"S29","H13"
"S29","H21"
"S29","H22"
"S29","H35"
"S30","H25"
"S31","H34"
"S32","H26"
"S32","H34"
"S33","H5"
"S33","H25"
"S34","H26"
"S34","H36"
"S34","H37"
"S35","H14"
"S35","H20"
"S36","H14"
"S36","H20"
"S37","H30"
"S38","H21"
"S38","H23"
"S38","H31"
"S39","H21"
"S39","H23"
"S39","H31"
"S40","H34"
"S41","H14"
"S41","H35"
