"symbiont","host"
"S2","H10"
"S2","H12"
"S2","H21"
"S9","H11"
"S9","H13"
"S9","H22"
"S10","H12"
"S10","H21"
"S13","H9"
"S15","H6"
"S15","H11"
"S16","H26"
"S17","H27"
"S18","H13"
"S18","H22"
"S19","H12"
"S19","H22"
"S20","H10"
"S21","H12"
"S22","H13"
"S22","H22"
"S23","H2"
"S24","H9"
"S25","H29"
"S26","H2"
"S27","H16"
"S29","H9"
"S30","H9"
"S32","H11"
"S32","H13"
"S32","H22"
"S34","H2"
"S35","H7"
"S35","H24"
"S36","H23"
"S36","H25"
"S37","H31"
"S38","H12"
"S38","H22"
"S38","H26"
"S39","H6"
"S40","H2"
"S41","H14"
"S42","H14"
"S43","H28"
"S44","H29"
"S45","H12"
"S45","H26"
"S46","H6"
"S47","H27"
"S47","H32"
"S48","H33"
